매물ID,제조사,모델,현재가격,차량연령,주행거리_km,연료,색상,지역,변속기,배기량,차급,좌석수,상사명,압류건수,저당건수,보험이력공개여부,보험이력건수,성능점검유형,옵션_기본코드 개수,옵션_선택코드 개수,옵션_튜닝코드 개수,옵션_기타개수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,교환_개수,판금_개수,부식_여부,교환_여부,판금_여부,외판수리_여부,보험이력_여부,사고종합_여부
41197097,0,9,1489,4,136656,1,22,1,1,1999,7,5,197,0,0,1,4,1,34,4,0,0,0,1,1,1,1,1,1,1,0,1,1,5,0,1,1,1,1,1
41222134,0,74,1849,4,108638,1,22,1,1,1598,1,5,197,0,0,1,4,1,34,4,0,0,0,1,1,1,1,1,1,1,0,1,0,4,0,0,1,1,1,1
41252734,0,74,1839,4,114616,1,22,1,1,1598,1,5,197,0,0,1,4,1,34,4,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
40704051,0,56,3389,2,49027,1,22,1,1,2497,1,7,197,0,0,1,1,1,49,4,0,0,0,1,1,1,1,1,1,1,1,1,0,4,0,0,1,1,1,1
40823787,0,9,1498,5,97486,1,22,1,1,1999,7,5,197,0,0,1,2,1,32,3,0,0,0,1,1,1,0,1,1,1,0,1,1,4,0,1,1,1,1,1
40949517,0,69,1598,3,96388,1,22,1,1,1591,1,5,197,0,0,1,3,1,32,4,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1
40963195,0,74,1789,4,107321,1,22,1,1,1598,1,5,197,0,0,1,6,1,34,4,0,0,0,1,1,1,1,1,1,1,0,1,3,2,0,1,1,1,1,1
40994626,0,74,1839,4,114714,1,22,1,1,1598,1,5,197,0,0,1,3,1,34,4,0,0,0,1,1,1,1,1,1,1,0,1,0,3,0,0,1,1,1,1
40891309,0,9,1689,4,97879,1,22,1,1,1999,7,5,197,0,0,1,2,1,34,4,0,0,0,1,1,1,1,1,1,1,0,1,0,4,0,0,1,1,1,1
41252962,0,74,1859,4,122070,1,22,1,1,1598,1,5,197,0,0,1,2,1,34,4,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1
41263820,0,66,989,3,105603,1,22,1,1,998,2,5,197,0,0,1,6,1,32,3,0,0,0,0,1,1,1,1,1,1,1,1,1,4,0,1,1,1,1,1
41263805,0,36,1189,7,104063,1,2,1,1,1999,7,5,197,0,0,1,3,1,29,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1
41263774,0,74,1889,4,105774,1,22,1,1,1598,1,5,197,0,0,1,2,1,34,4,0,0,0,1,1,1,1,1,1,1,0,1,0,2,0,0,1,1,1,1
41329188,0,34,1259,4,95030,1,22,1,1,1598,6,5,197,0,0,1,4,1,32,4,0,0,0,0,1,1,1,1,1,1,0,1,0,2,0,0,1,1,1,1
41395559,0,74,1919,4,105244,1,22,1,1,1598,1,5,197,0,0,1,2,1,34,4,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1
41354448,0,69,9999,4,112833,1,22,1,1,1591,1,5,197,0,0,1,2,1,30,3,0,0,0,0,1,1,1,1,1,1,0,1,0,2,0,0,1,1,1,1
41376924,0,34,1319,4,113214,1,22,1,1,1598,6,5,197,0,0,1,4,1,32,4,0,0,0,0,1,1,1,1,1,1,0,1,0,4,0,0,1,1,1,1
41392752,0,78,2355,4,98067,1,22,1,1,2497,1,7,197,0,0,1,4,1,33,4,0,0,0,1,1,1,1,1,1,1,0,1,1,3,0,1,1,1,1,1
41594090,0,95,3649,3,73571,4,22,1,1,2151,0,7,197,0,0,1,1,1,50,7,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
41627888,0,36,1789,6,23169,1,19,1,1,1999,7,5,197,0,0,1,1,1,34,2,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1
41528393,0,74,1794,4,123425,1,22,1,1,1598,1,5,197,0,0,1,2,1,34,4,0,0,0,1,1,1,1,1,1,1,0,1,2,1,0,1,1,1,1,1
41657401,0,68,9999,5,98954,4,2,1,1,2959,1,7,197,0,0,1,1,0,48,4,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41366876,0,78,3220,5,44457,3,22,2,1,1598,1,5,551,0,0,1,1,1,48,5,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
41555651,0,17,2720,4,31142,1,22,2,1,2497,3,5,551,0,0,1,1,1,45,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
41223741,0,75,2920,4,59617,3,22,1,1,1598,1,5,366,0,0,1,2,1,45,2,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,1,0,1,1,1
41517968,0,95,2950,3,29718,1,2,1,1,3470,0,9,366,0,0,1,1,1,46,4,0,0,1,1,1,1,1,1,1,1,1,1,2,0,0,1,0,1,1,1
41652661,0,56,3990,1,7723,1,22,1,1,2497,1,5,366,0,0,1,0,1,49,2,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41467315,0,56,3990,1,9409,1,22,1,1,2497,1,5,366,0,0,1,0,1,49,2,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41558274,0,34,1650,2,44832,1,22,1,1,1598,6,5,338,0,0,1,4,1,26,2,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1
41442092,0,58,3168,0,5,3,22,8,1,1598,0,9,314,0,0,1,0,0,46,4,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41326918,0,57,1650,6,108823,4,22,1,1,2199,0,9,760,0,0,1,1,1,42,3,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41400730,0,58,3580,1,64231,4,22,1,1,2151,0,9,161,0,0,0,0,1,47,5,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41374660,0,47,1430,4,28226,1,22,3,1,998,2,5,287,0,0,1,4,1,31,3,0,0,0,0,1,1,1,1,1,1,0,1,2,0,0,1,0,1,1,1
41585458,0,28,1590,9,60866,3,22,9,1,1580,1,5,244,0,0,1,2,1,34,4,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
41490186,0,76,660,14,90901,4,22,9,1,1995,1,5,244,0,0,1,0,1,33,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
41569833,0,76,660,14,104336,4,22,9,1,1995,1,5,244,0,0,1,2,1,35,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41606582,0,92,1490,8,124731,4,22,9,1,2199,0,7,244,0,0,1,5,1,40,3,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41467195,0,47,1290,7,47995,1,17,9,1,998,2,5,244,0,0,1,2,1,30,2,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
41514879,0,5,630,11,133330,1,22,9,1,1591,6,5,244,0,0,1,6,1,39,6,0,0,1,0,1,1,1,1,1,1,1,1,4,0,0,1,0,1,1,1
41514933,0,92,1350,10,131093,4,17,9,1,2199,0,7,244,0,0,1,2,1,44,2,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41631066,0,95,3050,5,76813,4,2,6,1,2151,0,9,237,0,0,1,0,1,46,3,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41627750,0,8,950,8,73682,1,22,1,1,1999,7,5,504,0,0,1,14,1,32,4,0,0,1,1,1,1,0,1,1,1,0,1,4,2,0,1,1,1,1,1
41633607,0,68,3970,4,43223,4,2,1,1,2959,1,6,31,0,0,1,1,1,48,2,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41162296,0,15,2190,6,65859,3,2,1,1,2359,3,5,495,0,0,1,4,1,45,2,0,0,0,1,1,1,1,1,1,1,1,1,0,2,0,0,1,1,1,1
41129970,0,9,2250,3,79958,1,17,1,1,1598,7,5,10,0,0,1,1,1,45,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41133277,0,95,2550,3,65220,4,2,1,1,2151,0,9,10,0,0,1,1,1,39,4,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
41130240,0,9,2550,3,52649,1,2,1,1,1598,7,5,10,0,0,1,6,1,46,5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
41130018,0,58,3950,2,34721,4,2,1,1,2151,0,9,10,0,0,1,1,1,48,4,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41547740,0,62,2820,4,47940,3,22,1,1,1580,1,5,521,0,0,1,3,1,44,3,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41546531,0,44,1630,2,21899,1,22,7,1,998,2,5,587,0,0,1,0,1,27,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
41585012,0,93,799,12,35914,4,17,10,1,1685,0,5,214,0,0,1,1,1,35,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
41582920,0,73,1099,10,129505,4,2,13,1,1995,1,5,701,0,0,1,3,1,34,2,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1
41584801,0,17,2400,3,93658,1,2,10,1,2497,3,5,555,0,0,1,0,1,45,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41571828,0,44,1840,1,12947,1,22,13,1,998,2,5,320,0,0,1,0,1,36,3,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41566642,0,68,3920,5,75620,4,2,1,1,2959,1,6,811,0,0,1,1,1,49,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
