매물ID,모델,현재가격,제조사_기아,주행거리_km,배기량,좌석수,차량연령,사고강도점수,변속기,연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,색상_흰색,색상_검정색,색상_은색,색상_기타,차급_SUV,차급_세단,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트
41569365,올 뉴 K3,1200,1,119744,1598,5,7,2,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1
41479001,올 뉴 쏘렌토,840,1,181407,1995,5,11,21,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1
41621618,카니발 4세대,2350,1,89941,3470,9,3,10,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41615089,카니발 4세대,2480,1,93378,2151,9,4,13,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41604222,카니발 4세대,624,1,87663,2151,9,3,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1
41467739,올 뉴 카니발,1420,1,125998,2199,9,8,4,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1
41474860,올 뉴 카니발,890,1,182484,2199,9,9,2,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1
41485793,더 프레스티지 K7,369,1,224831,2999,5,14,17,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
41518291,더 뉴 쏘렌토,1950,1,88217,2199,7,7,4,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
41513104,더 뉴 K7,799,1,92420,2359,5,11,6,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1
41505769,K7 프리미어,1590,1,144904,2497,5,6,25,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1
41631744,K5,430,1,248999,1999,5,13,6,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1
41633499,K5 3세대,1550,1,110917,1999,5,4,9,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1
41633183,K5 3세대,1450,1,190361,1999,5,5,9,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
41527869,더 뉴 스포티지 5세대,3890,1,11442,1598,5,1,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41527328,쏘렌토 4세대,2720,1,59738,2151,6,5,14,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
41532051,오피러스 프리미엄,480,1,134157,2656,5,16,4,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1
41561014,더 뉴 레이,990,1,82002,998,5,7,4,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1
41567922,쏘렌토 4세대,3780,1,74059,1598,5,5,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
41329847,올 뉴 쏘렌토,1499,1,153827,2199,5,10,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1
41359727,스포티지 5세대,2850,1,71019,1998,5,4,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
41351736,셀토스,1599,1,127996,1591,5,6,4,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
41358923,K7 프리미어,1990,1,93790,2999,5,6,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
41375552,더 뉴 K3,680,1,187557,1591,5,9,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1
41392068,더 뉴 쏘렌토,1849,1,101437,1995,5,7,6,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41392128,카니발 4세대,3049,1,61324,2151,9,4,6,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
41408483,쏘렌토 4세대,3250,1,85468,1598,5,5,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41033473,더 뉴 레이,680,1,85539,998,2,8,10,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
41238244,모하비 더 마스터,3999,1,68915,2959,7,5,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1
41417847,더 뉴 레이,815,1,76012,998,2,4,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
