iter	Passed	Remaining
293	5050	2748
294	5068	2731
295	5086	2714
296	5103	2697
297	5120	2680
298	5137	2663
299	5153	2645
300	5171	2628
301	5188	2611
302	5205	2594
303	5222	2576
304	5239	2559
305	5256	2542
306	5273	2525
307	5292	2508
308	5308	2491
309	5325	2473
310	5341	2455
311	5358	2438
312	5375	2421
313	5392	2404
314	5409	2386
315	5425	2369
316	5443	2352
317	5459	2334
318	5476	2317
319	5493	2300
320	5509	2282
321	5526	2265
322	5543	2248
323	5560	2230
324	5576	2213
325	5593	2196
326	5609	2178
327	5626	2161
328	5642	2143
329	5658	2126
330	5675	2108
331	5691	2091
332	5708	2074
333	5725	2056
334	5742	2039
335	5759	2022
336	5776	2005
337	5792	1988
338	5809	1970
339	5826	1953
340	5842	1936
341	5858	1918
342	5874	1901
343	5891	1884
344	5908	1866
345	5926	1849
346	5943	1832
347	5960	1815
348	5977	1798
349	5995	1781
350	6013	1764
351	6029	1747
352	6046	1730
353	6063	1712
354	6082	1696
355	6100	1679
356	6116	1661
357	6132	1644
358	6149	1627
359	6165	1609
360	6183	1592
361	6199	1575
362	6216	1558
363	6233	1541
364	6250	1524
365	6267	1506
366	6284	1489
367	6303	1473
368	6338	1460
369	6375	1447
370	6411	1434
371	6439	1419
372	6460	1402
373	6478	1385
374	6497	1368
375	6517	1352
376	6538	1335
377	6557	1318
378	6577	1301
379	6595	1284
380	6614	1267
381	6632	1250
382	6652	1233
383	6670	1215
384	6688	1198
385	6706	1181
386	6724	1164
387	6744	1147
388	6761	1129
389	6778	1112
390	6797	1095
391	6818	1078
392	6837	1061
393	6859	1044
394	6880	1027
395	6901	1010
396	6922	993
397	6942	976
398	6962	959
399	6985	943
400	7003	925
401	7020	908
402	7038	890
403	7057	873
404	7077	856
405	7097	839
406	7116	821
