매물ID,모델,모델_원본,모델_LE,모델_평균가_TE,현재가격_만원,주행거리_km,배기량_cc,좌석수,차량연령,사고강도점수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,제조사_현대,제조사_기아,제조사_제네시스,제조사_KG모빌리티(쌍용),제조사_쉐보레(GM대우),제조사_르노코리아(삼성),연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,연료_수소,색상_흰색,색상_검정색,색상_은색,색상_기타,변속기_오토계열,차급_SUV계열,차급_세단계열
40457284,코란도,뷰티풀 코란도,92,1788.536082,1580,46218,1597,5,6,3,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40460160,토레스,토레스,100,2458.245033,2250,68500,1497,5,3,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
40460313,토레스,토레스,100,2458.245033,2245,62131,1497,5,3,3,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
40475747,코란도,뷰티풀 코란도,92,1788.536082,1720,54141,1497,5,6,9,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40485320,렉스턴,렉스턴 W,35,654.3157895,840,122254,2157,5,11,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40488078,티볼리,티볼리,105,716.5412844,740,125183,1597,5,10,11,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40501540,코란도,뷰티풀 코란도,92,1788.536082,1850,26692,1497,5,6,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40508012,렉스턴,더 뉴 렉스턴 스포츠 칸,35,2886.434211,3100,27346,2157,5,4,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40512542,코란도,코란도 스포츠,92,797.9574468,750,109696,1998,5,12,5,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40516152,코란도,뉴코란도 C,92,468.6666667,319,121479,1998,5,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40520056,티볼리,티볼리 아머,105,1085.428571,890,98608,1597,5,8,12,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40520809,코란도,더 뉴 코란도 스포츠,92,907.3157895,1050,128570,2157,5,9,4,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40521853,티볼리,티볼리 에어,105,1023.075269,550,178551,1597,5,10,14,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40524092,토레스,토레스,100,2458.245033,2390,37564,1497,5,3,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
40525825,코란도,뉴코란도 C,92,468.6666667,640,81016,1998,5,12,6,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40540736,렉스턴,G4 렉스턴,35,1783.857143,1199,147327,2157,5,8,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40548528,코란도,코란도 투리스모,92,658.9183673,590,127885,2157,9,11,4,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
40554101,코란도,뉴코란도 C,92,468.6666667,280,142166,1998,5,12,2,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40555218,코란도,뷰티풀 코란도,92,1788.536082,2050,22654,1497,5,3,4,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40559460,티볼리,티볼리,105,716.5412844,890,53544,1597,5,10,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
40560952,티볼리,베리 뉴 티볼리,105,1315.876404,1350,67749,1497,5,5,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40569218,코란도,더 뉴 코란도 스포츠,92,907.3157895,650,189078,2157,5,9,5,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40575495,코란도,코란도 투리스모,92,658.9183673,480,136872,1998,11,12,10,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40578546,렉스턴,더 뉴 렉스턴 스포츠,35,2465.627119,1590,133699,2157,5,4,4,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40584460,티볼리,티볼리 아머,105,1085.428571,850,136732,1597,5,8,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
40598347,티볼리,베리 뉴 티볼리,105,1315.876404,1280,104781,1597,5,6,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40606722,티볼리,티볼리,105,716.5412844,650,76739,1597,5,9,17,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40606983,코란도,뷰티풀 코란도,92,1788.536082,1700,34954,1497,5,6,4,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40608585,체어맨,뉴체어맨 W,84,628.8888889,460,85947,3199,5,15,18,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
40609217,코란도,코란도 C,92,314.4,275,109097,1998,5,15,6,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40618588,토레스,토레스,100,2458.245033,2580,18685,1497,5,3,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
40623292,티볼리,티볼리 에어,105,1023.075269,670,84066,1597,5,10,2,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40626350,코란도,뷰티풀 코란도,92,1788.536082,1450,57339,1497,5,7,6,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
40642919,티볼리,티볼리,105,716.5412844,740,98804,1597,5,11,13,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40643916,티볼리,티볼리 에어,105,1023.075269,680,157664,1597,5,10,14,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40644155,렉스턴,올 뉴 렉스턴,35,2856.653333,2699,86402,2157,5,5,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40654447,티볼리,베리 뉴 티볼리,105,1315.876404,1350,63660,1497,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40654488,코란도,코란도 C,92,314.4,420,100545,1998,5,13,23,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40655382,코란도,뉴코란도 C,92,468.6666667,499,146872,1998,5,12,4,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40663413,렉스턴,더 뉴 렉스턴 스포츠,35,2465.627119,2359,37451,2157,5,5,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40665375,토레스,토레스,100,2458.245033,1799,106485,1497,5,2,6,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40668927,코란도,코란도 투리스모,92,658.9183673,850,106582,2157,7,10,3,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40677325,티볼리,티볼리 에어,105,1023.075269,1230,130850,1497,5,6,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40682382,티볼리,티볼리 아머,105,1085.428571,650,114061,1597,5,8,12,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40691203,코란도,뷰티풀 코란도,92,1788.536082,1800,63909,1497,5,5,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40691432,티볼리,티볼리 에어,105,1023.075269,1030,45533,1597,5,7,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40704425,티볼리,티볼리 아머,105,1085.428571,560,191898,1597,5,8,11,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
40704909,토레스,토레스,100,2458.245033,2100,62964,1497,5,3,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
40705215,티볼리,티볼리 아머,105,1085.428571,1090,76153,1597,5,8,11,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
40705471,티볼리,티볼리 아머,105,1085.428571,1180,49142,1597,5,7,4,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40706070,코란도,뷰티풀 코란도,92,1788.536082,2090,40075,1497,5,5,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
40713453,코란도,뉴코란도 C,92,468.6666667,530,81583,1998,5,12,2,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40715553,코란도,뉴코란도 C,92,468.6666667,475,130186,1998,5,12,5,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40724129,렉스턴,렉스턴 스포츠,35,1540.094595,1750,105154,2157,5,8,3,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
